Finish Load the Training data and labels!!!
Finish Load the Training data and labels!!!
Train Epoch: 1 [10000/146292 (7%)]	Loss: 2.962062, Accu: 22.00%
Train Epoch: 5 [130000/146292 (89%)]	Loss: 1.498452, Accu: 58.00%
Train Epoch: 5 [140000/146292 (96%)]	Loss: 1.740606, Accu: 50.00%

Test set (34543 samples): Average loss: 0.0493, Accuracy: 34.84%

Train Epoch: 6 [10000/146292 (7%)]	Loss: 1.721654, Accu: 46.00%
Train Epoch: 6 [20000/146292 (14%)]	Loss: 1.493951, Accu: 56.00%
Train Epoch: 6 [30000/146292 (21%)]	Loss: 1.244634, Accu: 64.00%
Train Epoch: 6 [40000/146292 (27%)]	Loss: 1.427737, Accu: 58.00%
Train Epoch: 6 [50000/146292 (34%)]	Loss: 1.661906, Accu: 44.00%
Train Epoch: 6 [60000/146292 (41%)]	Loss: 1.175287, Accu: 58.00%
Train Epoch: 6 [70000/146292 (48%)]	Loss: 1.283289, Accu: 70.00%
Train Epoch: 6 [80000/146292 (55%)]	Loss: 0.978279, Accu: 74.00%
Train Epoch: 6 [90000/146292 (62%)]	Loss: 1.148804, Accu: 64.00%
Train Epoch: 6 [100000/146292 (68%)]	Loss: 1.516616, Accu: 50.00%
Train Epoch: 6 [110000/146292 (75%)]	Loss: 1.831576, Accu: 52.00%
Train Epoch: 6 [120000/146292 (82%)]	Loss: 1.227665, Accu: 64.00%
Train Epoch: 6 [130000/146292 (89%)]	Loss: 1.319872, Accu: 58.00%
Train Epoch: 6 [140000/146292 (96%)]	Loss: 1.464070, Accu: 54.00%

Test set (34543 samples): Average loss: 0.0509, Accuracy: 34.14%

Train Epoch: 7 [10000/146292 (7%)]	Loss: 0.724084, Accu: 78.00%
Train Epoch: 7 [20000/146292 (14%)]	Loss: 0.912000, Accu: 68.00%
Train Epoch: 7 [30000/146292 (21%)]	Loss: 1.250056, Accu: 62.00%
Train Epoch: 7 [40000/146292 (27%)]	Loss: 1.562592, Accu: 50.00%
Train Epoch: 7 [50000/146292 (34%)]	Loss: 1.453379, Accu: 54.00%
Train Epoch: 7 [60000/146292 (41%)]	Loss: 1.214032, Accu: 62.00%
Train Epoch: 7 [70000/146292 (48%)]	Loss: 1.414140, Accu: 56.00%
Train Epoch: 7 [80000/146292 (55%)]	Loss: 1.208928, Accu: 66.00%
Train Epoch: 7 [90000/146292 (62%)]	Loss: 1.026587, Accu: 66.00%
Train Epoch: 7 [100000/146292 (68%)]	Loss: 1.124458, Accu: 62.00%
Train Epoch: 7 [110000/146292 (75%)]	Loss: 1.098438, Accu: 68.00%
Train Epoch: 7 [120000/146292 (82%)]	Loss: 1.223952, Accu: 66.00%
Train Epoch: 7 [130000/146292 (89%)]	Loss: 1.125675, Accu: 58.00%
Train Epoch: 7 [140000/146292 (96%)]	Loss: 0.982228, Accu: 66.00%

Test set (34543 samples): Average loss: 0.0549, Accuracy: 34.32%

Train Epoch: 8 [10000/146292 (7%)]	Loss: 1.282380, Accu: 64.00%
Train Epoch: 8 [20000/146292 (14%)]	Loss: 0.914188, Accu: 68.00%
Train Epoch: 8 [30000/146292 (21%)]	Loss: 0.900121, Accu: 68.00%
Train Epoch: 8 [40000/146292 (27%)]	Loss: 1.428169, Accu: 54.00%
Train Epoch: 8 [50000/146292 (34%)]	Loss: 1.139275, Accu: 66.00%
Train Epoch: 8 [60000/146292 (41%)]	Loss: 1.252290, Accu: 68.00%
Train Epoch: 8 [70000/146292 (48%)]	Loss: 1.230337, Accu: 66.00%
Train Epoch: 8 [80000/146292 (55%)]	Loss: 0.938655, Accu: 68.00%
Train Epoch: 8 [90000/146292 (62%)]	Loss: 1.045781, Accu: 68.00%
Train Epoch: 8 [100000/146292 (68%)]	Loss: 1.106750, Accu: 62.00%
Train Epoch: 8 [110000/146292 (75%)]	Loss: 0.758402, Accu: 74.00%
Train Epoch: 8 [120000/146292 (82%)]	Loss: 1.137211, Accu: 64.00%
Train Epoch: 8 [130000/146292 (89%)]	Loss: 0.980475, Accu: 72.00%
Train Epoch: 8 [140000/146292 (96%)]	Loss: 1.160374, Accu: 66.00%

Test set (34543 samples): Average loss: 0.0547, Accuracy: 34.08%

Train Epoch: 9 [10000/146292 (7%)]	Loss: 1.533265, Accu: 54.00%
Train Epoch: 9 [20000/146292 (14%)]	Loss: 1.019599, Accu: 62.00%
Train Epoch: 9 [30000/146292 (21%)]	Loss: 1.465100, Accu: 58.00%
Train Epoch: 9 [40000/146292 (27%)]	Loss: 0.896338, Accu: 78.00%
Train Epoch: 9 [50000/146292 (34%)]	Loss: 0.977050, Accu: 72.00%
Train Epoch: 9 [60000/146292 (41%)]	Loss: 0.845076, Accu: 68.00%
Train Epoch: 9 [70000/146292 (48%)]	Loss: 0.955786, Accu: 74.00%
Train Epoch: 9 [80000/146292 (55%)]	Loss: 1.081531, Accu: 62.00%
Train Epoch: 9 [90000/146292 (62%)]	Loss: 1.071683, Accu: 62.00%
Train Epoch: 9 [100000/146292 (68%)]	Loss: 1.025302, Accu: 72.00%
Train Epoch: 9 [110000/146292 (75%)]	Loss: 1.038925, Accu: 68.00%
Train Epoch: 9 [120000/146292 (82%)]	Loss: 1.027098, Accu: 72.00%
Train Epoch: 9 [130000/146292 (89%)]	Loss: 1.107859, Accu: 64.00%
Train Epoch: 9 [140000/146292 (96%)]	Loss: 1.644980, Accu: 50.00%

Test set (34543 samples): Average loss: 0.0570, Accuracy: 34.44%

Train Epoch: 10 [10000/146292 (7%)]	Loss: 1.079418, Accu: 64.00%
Train Epoch: 10 [20000/146292 (14%)]	Loss: 1.273917, Accu: 60.00%
Train Epoch: 10 [30000/146292 (21%)]	Loss: 0.913320, Accu: 78.00%
Train Epoch: 10 [40000/146292 (27%)]	Loss: 0.770913, Accu: 70.00%
Train Epoch: 10 [50000/146292 (34%)]	Loss: 1.505232, Accu: 58.00%
Train Epoch: 10 [60000/146292 (41%)]	Loss: 1.097092, Accu: 66.00%
Train Epoch: 10 [70000/146292 (48%)]	Loss: 0.982544, Accu: 60.00%
Train Epoch: 10 [80000/146292 (55%)]	Loss: 1.045936, Accu: 68.00%
Train Epoch: 10 [90000/146292 (62%)]	Loss: 1.334782, Accu: 62.00%
Train Epoch: 10 [100000/146292 (68%)]	Loss: 1.371342, Accu: 66.00%
Train Epoch: 10 [110000/146292 (75%)]	Loss: 0.993114, Accu: 68.00%
Train Epoch: 10 [120000/146292 (82%)]	Loss: 1.255236, Accu: 60.00%
Train Epoch: 10 [130000/146292 (89%)]	Loss: 1.028302, Accu: 70.00%
Train Epoch: 10 [140000/146292 (96%)]	Loss: 1.016994, Accu: 62.00%

Test set (34543 samples): Average loss: 0.0592, Accuracy: 33.19%

Train Epoch: 11 [10000/146292 (7%)]	Loss: 1.139871, Accu: 72.00%
Train Epoch: 11 [20000/146292 (14%)]	Loss: 1.064277, Accu: 70.00%
Train Epoch: 11 [30000/146292 (21%)]	Loss: 1.110560, Accu: 62.00%
Train Epoch: 11 [40000/146292 (27%)]	Loss: 0.857825, Accu: 72.00%
Train Epoch: 11 [50000/146292 (34%)]	Loss: 0.940698, Accu: 66.00%
Train Epoch: 11 [60000/146292 (41%)]	Loss: 0.839179, Accu: 70.00%
Train Epoch: 11 [70000/146292 (48%)]	Loss: 0.875387, Accu: 72.00%
Train Epoch: 11 [80000/146292 (55%)]	Loss: 0.952519, Accu: 62.00%
Train Epoch: 11 [90000/146292 (62%)]	Loss: 0.724299, Accu: 74.00%
Train Epoch: 11 [100000/146292 (68%)]	Loss: 1.115881, Accu: 62.00%
Train Epoch: 11 [110000/146292 (75%)]	Loss: 1.134240, Accu: 64.00%
Train Epoch: 11 [120000/146292 (82%)]	Loss: 1.270383, Accu: 58.00%
Train Epoch: 11 [130000/146292 (89%)]	Loss: 1.374927, Accu: 46.00%
Train Epoch: 11 [140000/146292 (96%)]	Loss: 0.981337, Accu: 70.00%

Test set (34543 samples): Average loss: 0.0602, Accuracy: 34.57%

Train Epoch: 12 [10000/146292 (7%)]	Loss: 1.057123, Accu: 68.00%
Train Epoch: 12 [20000/146292 (14%)]	Loss: 1.200099, Accu: 62.00%
Train Epoch: 12 [30000/146292 (21%)]	Loss: 0.951652, Accu: 70.00%
Train Epoch: 12 [40000/146292 (27%)]	Loss: 1.037802, Accu: 64.00%
Train Epoch: 12 [50000/146292 (34%)]	Loss: 1.096834, Accu: 70.00%
Train Epoch: 12 [60000/146292 (41%)]	Loss: 1.084991, Accu: 72.00%
Train Epoch: 12 [70000/146292 (48%)]	Loss: 1.081038, Accu: 60.00%
Train Epoch: 12 [80000/146292 (55%)]	Loss: 1.373205, Accu: 56.00%
Train Epoch: 12 [90000/146292 (62%)]	Loss: 1.015773, Accu: 72.00%
Train Epoch: 12 [100000/146292 (68%)]	Loss: 0.786176, Accu: 74.00%
Train Epoch: 12 [110000/146292 (75%)]	Loss: 1.261676, Accu: 66.00%
Train Epoch: 12 [120000/146292 (82%)]	Loss: 0.790800, Accu: 78.00%
Train Epoch: 12 [130000/146292 (89%)]	Loss: 0.997541, Accu: 72.00%
Train Epoch: 12 [140000/146292 (96%)]	Loss: 0.695903, Accu: 76.00%

Test set (34543 samples): Average loss: 0.0628, Accuracy: 33.58%

Train Epoch: 13 [10000/146292 (7%)]	Loss: 1.025245, Accu: 62.00%
Train Epoch: 13 [20000/146292 (14%)]	Loss: 0.744474, Accu: 76.00%
Train Epoch: 13 [30000/146292 (21%)]	Loss: 0.764938, Accu: 74.00%
Train Epoch: 13 [40000/146292 (27%)]	Loss: 0.958761, Accu: 68.00%
Train Epoch: 13 [50000/146292 (34%)]	Loss: 0.549994, Accu: 74.00%
Train Epoch: 13 [60000/146292 (41%)]	Loss: 0.727134, Accu: 78.00%
Train Epoch: 13 [70000/146292 (48%)]	Loss: 0.955689, Accu: 70.00%
Train Epoch: 13 [80000/146292 (55%)]	Loss: 0.842996, Accu: 70.00%
Train Epoch: 13 [90000/146292 (62%)]	Loss: 0.900932, Accu: 74.00%
Train Epoch: 13 [100000/146292 (68%)]	Loss: 0.817128, Accu: 72.00%
Train Epoch: 13 [110000/146292 (75%)]	Loss: 0.997349, Accu: 78.00%
Train Epoch: 13 [120000/146292 (82%)]	Loss: 0.824317, Accu: 74.00%
Train Epoch: 13 [130000/146292 (89%)]	Loss: 0.810920, Accu: 72.00%
Train Epoch: 13 [140000/146292 (96%)]	Loss: 0.788223, Accu: 76.00%

Test set (34543 samples): Average loss: 0.0667, Accuracy: 33.10%

Train Epoch: 14 [10000/146292 (7%)]	Loss: 0.638847, Accu: 76.00%
Train Epoch: 14 [20000/146292 (14%)]	Loss: 0.880507, Accu: 70.00%
Train Epoch: 14 [30000/146292 (21%)]	Loss: 0.793774, Accu: 68.00%
Train Epoch: 14 [40000/146292 (27%)]	Loss: 1.143115, Accu: 68.00%
Train Epoch: 14 [50000/146292 (34%)]	Loss: 0.723800, Accu: 76.00%
Train Epoch: 14 [60000/146292 (41%)]	Loss: 1.022466, Accu: 70.00%
Train Epoch: 14 [70000/146292 (48%)]	Loss: 0.645941, Accu: 84.00%
Train Epoch: 14 [80000/146292 (55%)]	Loss: 0.878786, Accu: 74.00%
Train Epoch: 14 [90000/146292 (62%)]	Loss: 0.790199, Accu: 72.00%
Train Epoch: 14 [100000/146292 (68%)]	Loss: 0.373362, Accu: 88.00%
Train Epoch: 14 [110000/146292 (75%)]	Loss: 0.787600, Accu: 80.00%
Train Epoch: 14 [120000/146292 (82%)]	Loss: 0.462336, Accu: 86.00%
Train Epoch: 14 [130000/146292 (89%)]	Loss: 0.929449, Accu: 80.00%
Train Epoch: 14 [140000/146292 (96%)]	Loss: 0.896469, Accu: 72.00%

Test set (34543 samples): Average loss: 0.0679, Accuracy: 32.83%

Train Epoch: 15 [10000/146292 (7%)]	Loss: 0.459170, Accu: 84.00%
Train Epoch: 15 [20000/146292 (14%)]	Loss: 0.972159, Accu: 70.00%
Train Epoch: 15 [30000/146292 (21%)]	Loss: 0.693313, Accu: 76.00%
Train Epoch: 15 [40000/146292 (27%)]	Loss: 0.830076, Accu: 74.00%
Train Epoch: 15 [50000/146292 (34%)]	Loss: 1.236573, Accu: 70.00%
Train Epoch: 15 [60000/146292 (41%)]	Loss: 0.538962, Accu: 80.00%
Train Epoch: 15 [70000/146292 (48%)]	Loss: 0.664806, Accu: 82.00%
Train Epoch: 15 [80000/146292 (55%)]	Loss: 0.429306, Accu: 82.00%
Train Epoch: 15 [90000/146292 (62%)]	Loss: 0.909747, Accu: 68.00%
Train Epoch: 15 [100000/146292 (68%)]	Loss: 0.779691, Accu: 76.00%
Train Epoch: 15 [110000/146292 (75%)]	Loss: 0.449020, Accu: 86.00%
Train Epoch: 15 [120000/146292 (82%)]	Loss: 0.692937, Accu: 74.00%
Train Epoch: 15 [130000/146292 (89%)]	Loss: 0.862858, Accu: 72.00%
Train Epoch: 15 [140000/146292 (96%)]	Loss: 0.841185, Accu: 74.00%

Test set (34543 samples): Average loss: 0.0701, Accuracy: 32.91%

Train Epoch: 16 [10000/146292 (7%)]	Loss: 0.671471, Accu: 74.00%
Train Epoch: 16 [20000/146292 (14%)]	Loss: 1.051611, Accu: 74.00%
Train Epoch: 16 [30000/146292 (21%)]	Loss: 0.587820, Accu: 80.00%
Train Epoch: 16 [40000/146292 (27%)]	Loss: 0.753745, Accu: 84.00%
Train Epoch: 16 [50000/146292 (34%)]	Loss: 0.563335, Accu: 84.00%
Train Epoch: 16 [60000/146292 (41%)]	Loss: 0.704277, Accu: 72.00%
Train Epoch: 16 [70000/146292 (48%)]	Loss: 0.637214, Accu: 76.00%
Train Epoch: 16 [80000/146292 (55%)]	Loss: 0.806363, Accu: 78.00%
Train Epoch: 16 [90000/146292 (62%)]	Loss: 0.769565, Accu: 78.00%
Train Epoch: 16 [100000/146292 (68%)]	Loss: 0.698820, Accu: 76.00%
Train Epoch: 16 [110000/146292 (75%)]	Loss: 0.582258, Accu: 86.00%
Train Epoch: 16 [120000/146292 (82%)]	Loss: 0.763890, Accu: 70.00%
Train Epoch: 16 [130000/146292 (89%)]	Loss: 0.625639, Accu: 76.00%
Train Epoch: 16 [140000/146292 (96%)]	Loss: 0.784398, Accu: 74.00%

Test set (34543 samples): Average loss: 0.0695, Accuracy: 32.22%

Train Epoch: 17 [10000/146292 (7%)]	Loss: 0.610770, Accu: 76.00%
Train Epoch: 17 [20000/146292 (14%)]	Loss: 1.127144, Accu: 64.00%
Train Epoch: 17 [30000/146292 (21%)]	Loss: 0.331666, Accu: 90.00%
Train Epoch: 17 [40000/146292 (27%)]	Loss: 0.606603, Accu: 80.00%
Train Epoch: 17 [50000/146292 (34%)]	Loss: 0.920328, Accu: 76.00%
Train Epoch: 17 [60000/146292 (41%)]	Loss: 0.658050, Accu: 86.00%
Train Epoch: 17 [70000/146292 (48%)]	Loss: 0.452196, Accu: 80.00%
Train Epoch: 17 [80000/146292 (55%)]	Loss: 0.944841, Accu: 72.00%
Train Epoch: 17 [90000/146292 (62%)]	Loss: 0.438251, Accu: 90.00%
Train Epoch: 17 [100000/146292 (68%)]	Loss: 0.734364, Accu: 74.00%
Train Epoch: 17 [110000/146292 (75%)]	Loss: 0.699695, Accu: 76.00%
Train Epoch: 17 [120000/146292 (82%)]	Loss: 1.389153, Accu: 72.00%
Train Epoch: 17 [130000/146292 (89%)]	Loss: 0.726755, Accu: 74.00%
Train Epoch: 17 [140000/146292 (96%)]	Loss: 0.970052, Accu: 70.00%

Test set (34543 samples): Average loss: 0.0740, Accuracy: 32.40%

Train Epoch: 18 [10000/146292 (7%)]	Loss: 0.415884, Accu: 84.00%
Train Epoch: 18 [20000/146292 (14%)]	Loss: 0.627060, Accu: 84.00%
Train Epoch: 18 [30000/146292 (21%)]	Loss: 0.717546, Accu: 80.00%
Train Epoch: 18 [40000/146292 (27%)]	Loss: 0.496487, Accu: 80.00%
Train Epoch: 18 [50000/146292 (34%)]	Loss: 0.642498, Accu: 80.00%
Train Epoch: 18 [60000/146292 (41%)]	Loss: 1.014419, Accu: 64.00%
Train Epoch: 18 [70000/146292 (48%)]	Loss: 0.530355, Accu: 84.00%
Train Epoch: 18 [80000/146292 (55%)]	Loss: 0.894059, Accu: 74.00%
Train Epoch: 18 [90000/146292 (62%)]	Loss: 0.501528, Accu: 82.00%
Train Epoch: 18 [100000/146292 (68%)]	Loss: 0.667324, Accu: 76.00%
Train Epoch: 18 [110000/146292 (75%)]	Loss: 0.590585, Accu: 80.00%
Train Epoch: 18 [120000/146292 (82%)]	Loss: 0.719675, Accu: 78.00%
Train Epoch: 18 [130000/146292 (89%)]	Loss: 0.458624, Accu: 84.00%
Train Epoch: 18 [140000/146292 (96%)]	Loss: 0.751645, Accu: 72.00%

Test set (34543 samples): Average loss: 0.0751, Accuracy: 32.12%

Train Epoch: 19 [10000/146292 (7%)]	Loss: 0.502330, Accu: 78.00%
Train Epoch: 19 [20000/146292 (14%)]	Loss: 0.821614, Accu: 72.00%
Train Epoch: 19 [30000/146292 (21%)]	Loss: 0.616046, Accu: 78.00%
Train Epoch: 19 [40000/146292 (27%)]	Loss: 0.491866, Accu: 84.00%
Train Epoch: 19 [50000/146292 (34%)]	Loss: 0.535980, Accu: 86.00%
Train Epoch: 19 [60000/146292 (41%)]	Loss: 0.791107, Accu: 78.00%
Train Epoch: 19 [70000/146292 (48%)]	Loss: 0.499106, Accu: 82.00%
Train Epoch: 19 [80000/146292 (55%)]	Loss: 1.081187, Accu: 72.00%
Train Epoch: 19 [90000/146292 (62%)]	Loss: 0.350595, Accu: 86.00%
Train Epoch: 19 [100000/146292 (68%)]	Loss: 0.499492, Accu: 86.00%
Train Epoch: 19 [110000/146292 (75%)]	Loss: 0.493344, Accu: 84.00%
Train Epoch: 19 [120000/146292 (82%)]	Loss: 0.557475, Accu: 82.00%
Train Epoch: 19 [130000/146292 (89%)]	Loss: 0.363540, Accu: 84.00%
Train Epoch: 19 [140000/146292 (96%)]	Loss: 0.391208, Accu: 88.00%

Test set (34543 samples): Average loss: 0.0778, Accuracy: 32.47%

Train Epoch: 20 [10000/146292 (7%)]	Loss: 0.632704, Accu: 80.00%
Train Epoch: 20 [20000/146292 (14%)]	Loss: 0.672712, Accu: 78.00%
Train Epoch: 20 [30000/146292 (21%)]	Loss: 0.648360, Accu: 76.00%
Train Epoch: 20 [40000/146292 (27%)]	Loss: 0.604329, Accu: 76.00%
Train Epoch: 20 [50000/146292 (34%)]	Loss: 0.665172, Accu: 76.00%
Train Epoch: 20 [60000/146292 (41%)]	Loss: 0.828811, Accu: 68.00%
Train Epoch: 20 [70000/146292 (48%)]	Loss: 0.494092, Accu: 82.00%
Train Epoch: 20 [80000/146292 (55%)]	Loss: 0.474325, Accu: 82.00%
Train Epoch: 20 [90000/146292 (62%)]	Loss: 0.512422, Accu: 86.00%
Train Epoch: 20 [100000/146292 (68%)]	Loss: 0.630128, Accu: 80.00%
Train Epoch: 20 [110000/146292 (75%)]	Loss: 0.783836, Accu: 74.00%
Train Epoch: 20 [120000/146292 (82%)]	Loss: 0.508194, Accu: 78.00%
Train Epoch: 20 [130000/146292 (89%)]	Loss: 0.539592, Accu: 86.00%
Train Epoch: 20 [140000/146292 (96%)]	Loss: 0.571148, Accu: 80.00%

Test set (34543 samples): Average loss: 0.0847, Accuracy: 31.98%

Train Epoch: 21 [10000/146292 (7%)]	Loss: 0.438109, Accu: 90.00%
Train Epoch: 21 [20000/146292 (14%)]	Loss: 0.435462, Accu: 86.00%
Train Epoch: 21 [30000/146292 (21%)]	Loss: 0.725874, Accu: 78.00%
Train Epoch: 21 [40000/146292 (27%)]	Loss: 0.658616, Accu: 80.00%
Train Epoch: 21 [50000/146292 (34%)]	Loss: 0.585335, Accu: 86.00%
Train Epoch: 21 [60000/146292 (41%)]	Loss: 0.351808, Accu: 90.00%
Train Epoch: 21 [70000/146292 (48%)]	Loss: 0.546416, Accu: 80.00%
Train Epoch: 21 [80000/146292 (55%)]	Loss: 0.366756, Accu: 90.00%
Train Epoch: 21 [90000/146292 (62%)]	Loss: 0.471101, Accu: 80.00%
Train Epoch: 21 [100000/146292 (68%)]	Loss: 0.857188, Accu: 74.00%
Train Epoch: 21 [110000/146292 (75%)]	Loss: 0.605873, Accu: 74.00%
Train Epoch: 21 [120000/146292 (82%)]	Loss: 0.672406, Accu: 74.00%
Train Epoch: 21 [130000/146292 (89%)]	Loss: 0.744465, Accu: 78.00%
Train Epoch: 21 [140000/146292 (96%)]	Loss: 0.641396, Accu: 80.00%

Test set (34543 samples): Average loss: 0.0865, Accuracy: 31.77%

Train Epoch: 22 [10000/146292 (7%)]	Loss: 0.522365, Accu: 84.00%
Train Epoch: 22 [20000/146292 (14%)]	Loss: 0.480148, Accu: 84.00%
Train Epoch: 22 [30000/146292 (21%)]	Loss: 0.570744, Accu: 82.00%
Train Epoch: 22 [40000/146292 (27%)]	Loss: 0.367424, Accu: 92.00%
Train Epoch: 22 [50000/146292 (34%)]	Loss: 0.349746, Accu: 92.00%
Train Epoch: 22 [60000/146292 (41%)]	Loss: 0.454106, Accu: 84.00%
Train Epoch: 22 [70000/146292 (48%)]	Loss: 0.632285, Accu: 88.00%
Train Epoch: 22 [80000/146292 (55%)]	Loss: 0.273679, Accu: 90.00%
Train Epoch: 22 [90000/146292 (62%)]	Loss: 0.633162, Accu: 76.00%
Train Epoch: 22 [100000/146292 (68%)]	Loss: 0.590892, Accu: 76.00%
Train Epoch: 22 [110000/146292 (75%)]	Loss: 0.383528, Accu: 86.00%
Train Epoch: 22 [120000/146292 (82%)]	Loss: 0.525209, Accu: 82.00%
